property_id,property_name,area,property_type,floor_area_m2,building_age,walking_minutes_to_station,current_rent_per_m2,competitor_rent_per_m2,occupancy_rate,renovation_cost,expected_rent_increase_percent,foot_traffic_score,office_nearby_score,event_score,risk_score
P001,Namba Grand Office,Namba,Office,2800,6,3,3200,3600,0.940,4000000,0.110,9.0,8.8,7.5,2.0
P002,Umeda Sky Tower Apt,Umeda,Apartment,4200,10,5,2900,3200,0.870,8000000,0.130,8.7,8.2,6.8,3.1
P003,Shinsaibashi Retail Plaza,Shinsaibashi,Retail,2200,4,2,3500,3800,1.000,6000000,0.200,9.5,6.5,9.0,1.5
P004,Kyoto Station Warehouse,Kyoto,Warehouse,9500,20,10,850,1000,0.920,15000000,0.080,5.0,4.5,3.0,4.2
P005,Gion Mixed-Use Complex,Gion,Mixed-use,6000,14,8,2400,3200,0.810,45000000,0.250,8.0,7.0,9.8,4.8
P006,Osaka Bay Hotel,Osaka Bay,Hotel,11000,9,15,1800,2200,0.750,80000000,0.300,7.5,5.5,8.5,5.5
P007,Tennoji Venue Hall,Tennoji,Venue,1600,2,4,3800,4100,0.950,2000000,0.090,8.2,5.8,7.8,2.3
P008,Kyoto Higashiyama Retail,Higashiyama,Retail,800,30,6,2200,2600,0.980,12000000,0.220,9.3,4.0,9.5,3.8
P009,Osaka North Office Park,Osaka North,Office,5500,16,9,1500,1900,0.760,20000000,0.170,7.0,8.0,4.5,5.0
P010,Namba Capsule Hotel,Namba,Hotel,650,1,3,4500,4800,0.990,1000000,0.060,9.4,6.0,8.8,1.8
